units,RC_node_type,sr,lr,input_scaling,connectivity,activation,mu,learning_rate
5,IPESN,0.5390843048992874,0.5939327248580668,0.2513252377675749,0.01,tanh,0.0,0.0022702608040701578
5,ESN,0.20921546324469245,0.3478459987663674,0.13863801338830792,0.5,tanh,,
