units,RC_node_type,sr,lr,input_scaling,connectivity,activation,mu,learning_rate
50,IPESN,0.6422438249469201,0.4484558005901657,0.593754307552595,0.4866339415809452,tanh,0.0,8.451992789446914e-05
50,IPESN,1.3354036562005704,0.7465875490302984,0.8367791870457755,0.4223144264106649,tanh,0.011223220346618623,0.0011939603446464542
