units,RC_node_type,sr,lr,input_scaling,connectivity,activation,mu,learning_rate
50,ESN,0.2770672748711112,0.24717716624898306,0.6600953767175664,0.2564691947824494,tanh,,
5,IPESN,0.2614546161441847,0.7160680187738099,0.3096341151310229,0.4481053082073282,sigmoid,0.0995161385702756,0.00020877136551567283
