energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
51.0244010000004,42.2644010000004,8.76,7.40858505564388,0,51.1611604059062,1748169709.703
51.0244010000004,42.2644010000004,8.76,7.40858505564388,0,51.1611604059062,1748169709.703
51.0244010000004,42.2644010000004,8.76,7.40858505564388,0,51.1611604059062,1748169710.705
51.0244010000004,42.2644010000004,8.76,7.40858505564388,0,51.1611604059062,1748169710.705
49.4216619999999,40.4716619999999,8.95,7.4262139003491,0,51.1345819937301,1748169711.708
49.4216619999999,40.4716619999999,8.95,7.4262139003491,0,51.1345819937301,1748169711.708
49.4216619999999,40.4716619999999,8.95,7.4262139003491,0,51.1345819937301,1748169712.71
49.4216619999999,40.4716619999999,8.95,7.4262139003491,0,51.1345819937301,1748169712.71
50.0232100000019,41.5532100000019,8.47,8.82537688442211,0,51.1072832662952,1748169713.713
50.0232100000019,41.5532100000019,8.47,8.82537688442211,0,51.1072832662952,1748169713.713
50.0232100000019,41.5532100000019,8.47,8.82537688442211,0,51.1072832662952,1748169714.715
50.0232100000019,41.5532100000019,8.47,8.82537688442211,0,51.1072832662952,1748169714.715
84.9970490000014,76.2470490000014,8.75,9.83865865232522,0,50.059310025885,1748169715.718
84.9970490000014,76.2470490000014,8.75,9.83865865232522,0,50.059310025885,1748169715.718
84.9970490000014,76.2470490000014,8.75,9.83865865232522,0,50.059310025885,1748169716.72
84.9970490000014,76.2470490000014,8.75,9.83865865232522,0,50.059310025885,1748169716.72
110.463185000002,101.433185000002,9.03,100,0,49.3906377085282,1748169717.723
110.463185000002,101.433185000002,9.03,100,0,49.3906377085282,1748169717.723
110.463185000002,101.433185000002,9.03,100,0,49.3906377085282,1748169718.725
110.463185000002,101.433185000002,9.03,100,0,49.3906377085282,1748169718.725
110.463185000002,101.433185000002,9.03,100,0,49.3906377085282,1748169719.728
110.463185000002,101.433185000002,9.03,100,0,49.3906377085282,1748169719.728
152.749315000006,141.989315000006,10.76,100,0,48.5791598389326,1748169720.73
152.749315000006,141.989315000006,10.76,100,0,48.5791598389326,1748169720.73
152.749315000006,141.989315000006,10.76,100,0,48.5791598389326,1748169721.733
152.749315000006,141.989315000006,10.76,100,0,48.5791598389326,1748169721.733
150.728720999994,141.988720999994,8.74,100,0,47.6810732160172,1748169722.736
150.728720999994,141.988720999994,8.74,100,0,47.6810732160172,1748169722.736
150.728720999994,141.988720999994,8.74,100,0,47.6810732160172,1748169723.74
150.728720999994,141.988720999994,8.74,100,0,47.6810732160172,1748169723.74
151.346492000004,141.986492000004,9.36,98.0043654505769,0,44.8610267691126,1748169724.742
151.346492000004,141.986492000004,9.36,98.0043654505769,0,44.8610267691126,1748169724.742
151.346492000004,141.986492000004,9.36,98.0043654505769,0,44.8610267691126,1748169725.745
151.346492000004,141.986492000004,9.36,98.0043654505769,0,44.8610267691126,1748169725.745
80.6969339999984,72.4769339999984,8.22,11.5457413249211,1,37.9014017823285,1748169726.748
80.6969339999984,72.4769339999984,8.22,11.5457413249211,1,37.9014017823285,1748169726.748
80.6969339999984,72.4769339999984,8.22,11.5457413249211,1,37.9014017823285,1748169727.75
80.6969339999984,72.4769339999984,8.22,11.5457413249211,1,37.9014017823285,1748169727.75
114.825540999999,69.0055409999986,45.82,11.0233733417562,18,37.1651297092441,1748169728.752
114.825540999999,69.0055409999986,45.82,11.0233733417562,18,37.1651297092441,1748169728.752
114.825540999999,69.0055409999986,45.82,11.0233733417562,18,37.1651297092441,1748169729.755
114.825540999999,69.0055409999986,45.82,11.0233733417562,18,37.1651297092441,1748169729.755
115.373209999996,69.6832099999956,45.69,10.4979384712972,18,37.1742130067448,1748169730.757
115.373209999996,69.6832099999956,45.69,10.4979384712972,18,37.1742130067448,1748169730.757
115.373209999996,69.6832099999956,45.69,10.4979384712972,18,37.1742130067448,1748169731.76
115.373209999996,69.6832099999956,45.69,10.4979384712972,18,37.1742130067448,1748169731.76
115.373209999996,69.6832099999956,45.69,10.4979384712972,18,37.1742130067448,1748169732.763
115.373209999996,69.6832099999956,45.69,10.4979384712972,18,37.1742130067448,1748169732.763
115.479936999997,69.7699369999973,45.71,11.6834170854271,19,37.1452416828616,1748169733.765
115.479936999997,69.7699369999973,45.71,11.6834170854271,19,37.1452416828616,1748169733.765
115.479936999997,69.7699369999973,45.71,11.6834170854271,19,37.1452416828616,1748169734.769
115.479936999997,69.7699369999973,45.71,11.6834170854271,19,37.1452416828616,1748169734.769
115.322893,69.3728929999998,45.95,10.6463878326996,18,37.0915476742485,1748169735.772
115.322893,69.3728929999998,45.95,10.6463878326996,18,37.0915476742485,1748169735.772
115.322893,69.3728929999998,45.95,10.6463878326996,18,37.0915476742485,1748169736.775
115.322893,69.3728929999998,45.95,10.6463878326996,18,37.0915476742485,1748169736.775
114.623242999999,68.4332429999995,46.19,11.7071631429473,19,37.0543476641885,1748169737.777
114.623242999999,68.4332429999995,46.19,11.7071631429473,19,37.0543476641885,1748169737.777
114.623242999999,68.4332429999995,46.19,11.7071631429473,19,37.0543476641885,1748169738.78
114.623242999999,68.4332429999995,46.19,11.7071631429473,19,37.0543476641885,1748169738.78
115.293832999997,69.1538329999967,46.14,10.3776578863853,19,37.0922801982405,1748169739.783
115.293832999997,69.1538329999967,46.14,10.3776578863853,19,37.0922801982405,1748169739.783
115.293832999997,69.1538329999967,46.14,10.3776578863853,19,37.0922801982405,1748169740.787
