units,RC_node_type,sr,lr,input_scaling,connectivity,activation,mu,learning_rate
5,IPESN,0.4340899431563961,1.0,0.24170691442363135,0.01,sigmoid,0.0,0.0005445253427569066
5,ESN,0.8266520178730692,0.929942829849045,0.20889225276916165,0.5,sigmoid,,
